game,rate,genre,review1,tag1,tag2,tag3,tag4,tag5
Tabletop Simulator,286160,10,Simulation Games,Tabletop,Board Game,Simulation,Multiplayer,
Hollow Knight,367520,10,Adventure Games,Metroidvania,Souls-like,Platformer,,Difficult
Crusader Kings III,1158310,9,Strategy Games,Strategy,RPG,Simulation,Medieval,
7 Days to Die,251570,9,Action Games,Survival,Zombies,Voxel,Open World,
Satisfactory,526870,10,Strategy Games,Base Building,Automation,Open World,Crafting,
Devil May Cry 5,601150,10,Action Games,Action,Hack and Slash,Great Soundtrack,,
Ori and the Will of the Wisps,1057090,10,Action Games,Beautiful,Metroidvania,Great Soundtrack,,Action
GUILTY GEAR -STRIVE-,1384160,9,Action Games,2D Fighter,Fighting,Anime,2.5D,PvP
Forza Horizon 4,1293830,9,Racing Games,Racing,Open World,Driving,Multiplayer,
BURIED STARS,1025960,9,Adventure Games,Interactive Fiction,Mystery,Emotional,,Adventure
Divinity: Original Sin 2 - Definitive Edition,435150,10,Adventure Games,Tactical RPG,RPG,Turn-Based Strategy,,
theHunter: Call of the Wild™,518790,9,Adventure Games,Hunting,Open World,Multiplayer,Simulation,
Viscera Cleanup Detail,246900,9,Simulation Games,Simulation,Gore,Multiplayer,Co-op,
ASTRONEER,361420,9,Adventure Games,Multiplayer,Open World,Open World Survival Craft,,
World War Z: Aftermath,699130,9,Action Games,Zombies,Action,Online Co-Op,Multiplayer,
Longvinter,1635450,6,Action Games,Early Access,Survival,Multiplayer,Crafting,
GrandChase,985810,6,Action Games,Action,PvP,PvE,Action RPG,Casual
Dead Cells,588650,10,Action Games,Roguelite,Pixel Graphics,Roguelike,,Souls-like
Unpacking,1135690,9,Indie Games,Relaxing,Pixel Graphics,Cute,Story Rich,
Gunfire Reborn,1217060,9,Action Games,FPS,Roguelite,Co-op,Online Co-Op,
GNOSIA,1608290,9,Adventure Games,Social Deduction,Roguelite,Story Rich,RPG,
ONE PIECE: PIRATE WARRIORS 4,1089090,9,Action Games,Hack and Slash,Anime,Beat 'em up,Fighting,
NBA 2K22,1644960,6,Sports Games,Sports,Basketball,Simulation,Realistic,
Core Keeper,1621690,9,Adventure Games,Early Access,Pixel Graphics,Sandbox,,Adventure
Skul: The Hero Slayer,1147560,9,Indie Games,Indie,Action,Action Roguelike,Pixel Graphics,
Microsoft Flight Simulator Game of the Year Edition,1250410,7,Simulation Games,Simulation,Flight,Open World,Realistic,
Little Witch in the Woods,1594940,9,RPG Games,Early Access,Cute,Pixel Graphics,Funny,
Lobotomy Corporation | Monster Management Simulation,568220,9,Indie Games,Management,Simulation,Difficult,Story Rich,
House Flipper,613100,9,Simulation Games,Simulation,Design & Illustration,Singleplayer,,
Tom Clancy's Ghost Recon® Wildlands,460930,9,Adventure Games,Open World,Shooter,Multiplayer,Co-op,
OMORI,1150690,10,RPG Games,Psychological Horror,Story Rich,Indie,,
PAYDAY 2,218620,9,Action Games,Co-op,Action,FPS,Heist,Looter Shooter
Deep Rock Galactic,548430,10,Action Games,Co-op,PvE,FPS,Loot,Exploration
Detroit: Become Human,1222140,9,Action Games,Choices Matter,Story Rich,Multiple Endings,,
Frostpunk,323190,9,Simulation Games,City Builder,Survival,Strategy,,Post-apocalyptic
Assassin's Creed® Origins,582160,9,Action Games,Open World,Assassin,Action,RPG,Stealth
Peglin,1296610,7,RPG Games,Deckbuilding,Pinball,Roguelite,Perma Death,
We Were Here Forever,1341290,9,Adventure Games,Exploration,Puzzle,Online Co-Op,Escape Room,
Total War: WARHAMMER II,594570,9,Strategy Games,Strategy,Fantasy,Turn-Based Strategy,RTS,
Grim Dawn,219990,9,RPG Games,Action RPG,Hack and Slash,Dark Fantasy,RPG,
DOOM Eternal,782330,9,Action Games,Action,FPS,Great Soundtrack,Gore,
Persona® 5 Strikers,1382330,9,Action Games,Anime,Great Soundtrack,JRPG,Hack and Slash,
ENDER LILIES: Quietus of the Knights,1369630,10,Action Games,Metroidvania,Female Protagonist,Dark Fantasy,,
Super Robot Wars 30,898750,9,Simulation Games,Strategy,RPG,Simulation,JRPG,
Inscryption,1092790,10,Indie Games,Card Battler,Card Game,Story Rich,,Horror
Darkest Dungeon®,262060,9,RPG Games,Turn-Based Combat,Dark Fantasy,,Roguelike,
A Way Out,1222700,9,Action Games,Co-op,Online Co-Op,Split Screen,Story Rich,
DEATH STRANDING DIRECTOR'S CUT,1850570,9,Action Games,Action,Walking Simulator,Adventure,Story Rich,
Ghostwire: Tokyo,1475810,9,Action Games,Singleplayer,Supernatural,First-Person,Horror,
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,349040,9,Action Games,Anime,Fighting,Action,Ninja,Multiplayer
Age of Empires II: Definitive Edition,813780,9,Strategy Games,Strategy,RTS,City Builder,Multiplayer,
Sniper Elite 4,312660,9,Action Games,Sniper,Action,Multiplayer,Shooter,War
Planet Zoo,703080,9,Simulation Games,Management,Simulation,Building,Sandbox,
Summer Memories,1227890,9,Adventure Games,Sexual Content,Pixel Graphics,Anime,RPG,
Gang Beasts,285900,9,Action Games,Funny,Physics,Multiplayer,Colorful,
Shotgun King: The Final Checkmate,1972440,9,Action Games,Turn-Based Strategy,Strategy,Action Roguelike,,
Stray,1972440,none,Adventure Games,Cats,Adventure,Cyberpunk,Indie,
Two Point Hospital,535930,9,Simulation Games,Simulation,Medical Sim,Management,Building,
Phoenix Wright: Ace Attorney Trilogy,787480,10,Adventure Games,Detective,Visual Novel,Story Rich,,Mystery
Black Squad,550650,7,Action Games,Free to Play,FPS,Shooter,Multiplayer,Action
Borderlands 3,397540,9,Action Games,RPG,Action,Looter Shooter,FPS,
Metro Exodus,412020,9,Action Games,Post-apocalyptic,FPS,Open World,Story Rich,
World of Warships,552990,9,Free to Play Games,Naval Combat,Free to Play,Naval,World War II,
Wasteland 3,719040,9,RPG Games,RPG,Strategy,Turn-Based Combat,,Co-op
노베나 디아볼로스,1210030,9,Indie Games,Simulation,Adventure,Indie,Visual Novel,
DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,1295510,9,RPG Games,JRPG,RPG,Turn-Based Combat,,Story Rich
Oxygen Not Included,457140,10,Simulation Games,Colony Sim,Base Building,Survival,,Building
SD GUNDAM BATTLE ALLIANCE,457140,none,Action Games,Action,JRPG,Action-Adventure,Hack and Slash,
Unrailed!,1016920,9,Action Games,Open World Survival Craft,Multiplayer,Co-op,,
Romance of the Three Kingdoms XIII,363150,6,Simulation Games,Strategy,Simulation,Historical,RPG,
Love Delivery,1817940,10,Indie Games,Dating Sim,Visual Novel,2D,Story Rich,
DCS World Steam Edition,223750,9,Simulation Games,Simulation,Flight,Free to Play,Multiplayer,
Little Nightmares II,860510,10,Adventure Games,Horror,Adventure,Singleplayer,Puzzle,Dark
PICO PARK,1509960,9,Casual Games,Multiplayer,Online Co-Op,Casual,,Cute
Propnight,1549180,6,Action Games,Multiplayer,Horror,Action,Survival Horror,
Far Cry® 5,552520,7,Action Games,Open World,Co-op,Action,Multiplayer,FPS
GROUND BRANCH,16900,9,Action Games,Tactical,Realistic,FPS,Military,Simulation
DRAGON BALL Z: KAKAROT,851850,9,Action Games,Action,RPG,Anime,Open World,Fighting
Sid Meier's Civilization® V,8930,10,Strategy Games,Turn-Based Strategy,Strategy,Turn-Based,,
Age of Empires IV,1466860,9,Strategy Games,Strategy,RTS,Medieval,Multiplayer,
Resident Evil 3,952060,7,Action Games,Action,Zombies,Horror,Female Protagonist,
Age of Empires III: Definitive Edition,933110,7,Strategy Games,Strategy,RTS,Base Building,Multiplayer,
Out of the Park Baseball 23,1739010,9,Sports Games,Simulation,Sports,Strategy,Sandbox,
Titanfall® 2,1237970,9,Action Games,FPS,Multiplayer,Shooter,Action,Mechs
Atelier Sophie 2: The Alchemist of the Mysterious Dream,1621310,9,RPG Games,RPG,Anime,JRPG,Female Protagonist,Cute
The Crew™ 2,646910,9,Racing Games,Racing,Open World,Automobile Sim,Multiplayer,
Night of the Dead,1377380,9,Adventure Games,Early Access,Zombies,Survival,Base Building,
Mafia: Definitive Edition,1030840,9,Action Games,Action,Open World,Story Rich,Crime,
Vampire Survivors,1794680,10,Action Games,Action Roguelike,Pixel Graphics,Bullet Hell,2D,
Danganronpa: Trigger Happy Havoc,413410,10,Adventure Games,Anime,Visual Novel,Mystery,Detective,
Yakuza 0,638970,10,Action Games,Story Rich,Action,Beat 'em up,Great Soundtrack,
NARAKA: BLADEPOINT,1203220,7,Action Games,Battle Royale,Sexual Content,Multiplayer,,PvP
The Stanley Parable: Ultra Deluxe,1703340,9,Adventure Games,Multiple Endings,Comedy,Choices Matter,,
Total War: WARHAMMER,364360,7,Strategy Games,Strategy,Fantasy,RTS,War,
Total War: WARHAMMER III,1142710,6,Strategy Games,Early Access,Strategy,Turn-Based Strategy,,RTS
SCARLET NEXUS,775500,9,RPG Games,Action,Anime,RPG,Adventure,Action RPG
No Umbrellas Allowed,1301390,7,Simulation Games,Simulation,Indie,Strategy,Pixel Graphics,
Assetto Corsa Competizione,805550,9,Racing Games,Racing,Automobile Sim,Simulation,VR,
STAR WARS Jedi: Fallen Order™,1172380,9,Action Games,Action-Adventure,Souls-like,Third Person,,
Biped,1071870,9,Adventure Games,Co-op,Funny,Level Editor,Puzzle Platformer,
LEGO® Star Wars™: The Skywalker Saga,920210,9,Adventure Games,LEGO,Adventure,Open World,Co-op,
Yakuza Kiwami 2,927380,10,Action Games,Action,Story Rich,RPG,Beat 'em up,
The Elder Scrolls® Online,306130,9,Massively Multiplayer Games,RPG,MMORPG,Adventure,Open World,
Car Mechanic Simulator 2021,1190000,10,Simulation Games,Simulation,Automobile Sim,Sandbox,Racing,
Subnautica: Below Zero,848450,9,Adventure Games,Open World Survival Craft,Survival,Underwater,,
For The King,527230,9,RPG Games,Open World,RPG,Strategy,Online Co-Op,
Danganronpa 2: Goodbye Despair,413420,10,Adventure Games,Anime,Detective,Visual Novel,Mystery,
Halo: The Master Chief Collection,976730,9,Action Games,Great Soundtrack,FPS,Classic,Multiplayer,
No Man's Sky,275850,7,Action Games,Open World,Open World Survival Craft,Space,,
Mirror 2: Project X,1832640,9,Indie Games,3D,Match 3,FPS,Anime,Drama
The Long Dark,305620,9,Indie Games,Survival,Open World Survival Craft,Open World,,
Ultimate Chicken Horse,386940,10,Indie Games,Multiplayer,Funny,Platformer,Local Multiplayer,
Beat Saber,620980,10,Indie Games,VR,Rhythm,Music,Great Soundtrack,
Europa Universalis IV,236850,9,Strategy Games,Grand Strategy,Historical,Simulation,,Economy
Portal 2,620,10,Action Games,Platformer,Puzzle,Dark Humor,First-Person,
SD GUNDAM G GENERATION CROSS RAYS,728530,9,RPG Games,Mechs,Tactical RPG,Turn-Based Tactics,RPG,
Action Taimanin,1335200,9,Action Games,Sexual Content,Free to Play,Nudity,Mature,
THE KING OF FIGHTERS XV,1498570,9,Action Games,Action,2D Fighter,Fighting,PvP,Multiplayer
Prison Architect,233450,9,Strategy Games,Simulation,Building,Sandbox,Strategy,
Shadowverse CCG,453480,7,Strategy Games,Free to Play,Card Battler,Trading Card Game,,
Return of the Obra Dinn,653530,10,Adventure Games,Detective,Mystery,Puzzle,Story Rich,
Need for Speed™ Heat,1222680,9,Racing Games,Racing,Open World,Driving,Multiplayer,
Call of Duty®: Modern Warfare® II,1361510,none,Action Games,FPS,Action,Shooter,First-Person,Multiplayer
