game,rate,genre,review1,tag1,tag2,tag3,tag4,tag5
Danganronpa Another Episode: Ultra Despair Girls,555950,9,Action Games,Anime,Female Protagonist,Action,,Story Rich
Parkitect,453090,9,Simulation Games,Management,Building,Casual,Economy,
Desperados III,610370,10,Strategy Games,Strategy,Real Time Tactics,Stealth,Western,
Bro Falls,1590320,7,Massively Multiplayer Games,Multiplayer,Platformer,Casual,Battle Royale,
Tribes of Midgard,858820,7,Indie Games,Action,Roguelike,Co-op,Multiplayer,
Don't Starve,219740,10,Indie Games,Survival,Open World Survival Craft,Crafting,,
Far Cry® New Dawn,939960,7,Action Games,Open World,FPS,Action,Co-op,Multiplayer
Monster Train,1102190,10,Strategy Games,Card Battler,Roguelite,Card Game,,Roguelike
NosTale - Anime MMORPG,550470,7,Massively Multiplayer Games,Free to Play,Anime,MMORPG,,Adventure
Dungreed,753420,9,Indie Games,Action Roguelike,Pixel Graphics,Roguelike,,
Enter the Gungeon,311690,10,Indie Games,Bullet Hell,Action Roguelike,Roguelike,,Difficult
Ultimate Epic Battle Simulator 2,1468720,9,Action Games,Early Access,Simulation,Action,Strategy,
Stacklands,1948280,10,Indie Games,Roguelite,Card Battler,Solitaire,Management,
Call of Duty®: Black Ops,42700,9,Action Games,Action,FPS,Zombies,Multiplayer,Shooter
Rogue Legacy 2,1253920,9,Action Games,Roguelite,Metroidvania,Action,Indie,
Battle Brothers,365360,9,Strategy Games,Tactical RPG,Turn-Based Combat,Strategy,,RPG
"Papers, Please",239030,10,Indie Games,Indie,Political,Simulation,Singleplayer,
Chrono Ark,1188930,9,Indie Games,Roguelike Deckbuilder,RPG,Strategy,Indie,
Coffee Talk,914800,10,Indie Games,Conversation,Pixel Graphics,Atmospheric,,
Mortal Kombat 11,976310,9,Action Games,Fighting,Gore,Violent,Multiplayer,Blood
SUPER ROBOT WARS V,1031500,9,Strategy Games,Tactical RPG,Robots,Anime,JRPG,
Tavern Master,1525700,9,Strategy Games,Simulation,Building,Management,Medieval,
Children of Morta,330020,9,Action Games,Multiplayer,Roguelike,Action Roguelike,,
Cooking Simulator,641320,9,Simulation Games,Simulation,Cooking,Realistic,Singleplayer,
Dealer's Life 2,1343670,9,Indie Games,Trading,Management,Memes,Capitalism,
VRChat,438100,9,Massively Multiplayer Games,VR,Free to Play,Memes,Anime,Multiplayer
Feign,1436990,9,RPG Games,Early Access,Casual,Strategy,Multiplayer,
Wartales,1527950,9,RPG Games,RPG,Open World,Turn-Based Strategy,,Medieval
"Football, Tactics & Glory",375530,9,Sports Games,Turn-Based Combat,Sports,Simulation,,Soccer
Jump King,1061090,9,Indie Games,Psychological Horror,Difficult,Precision Platformer,,
Kingdom Two Crowns,701160,9,Strategy Games,Strategy,Pixel Graphics,Adventure,Indie,
Dorfromantik,1455840,10,Strategy Games,City Builder,Puzzle,Indie,Strategy,
March of Empires,702320,6,Strategy Games,Free to Play,Strategy,Massively Multiplayer,,
Dishonored 2,403640,9,Action Games,Stealth,First-Person,Action,Assassin,
They Are Billions,644930,9,Strategy Games,Base Building,Colony Sim,Strategy,Zombies,
Sniper Elite 5,1029690,7,Action Games,Action,Adventure,World War II,Stealth,
VTOL VR,667970,10,Action Games,Flight,VR,Combat,Simulation,Jet
FINAL FANTASY VI,1173820,9,RPG Games,RPG,Singleplayer,2D,Adventure,
Noita,881100,10,Action Games,Physics,Roguelike,Difficult,Dungeon Crawler,
Total War™: ROME II - Emperor Edition,214950,9,Strategy Games,Strategy,Turn-Based Strategy,Historical,,Rome
SENRAN KAGURA ESTIVAL VERSUS,502800,9,Action Games,Nudity,Sexual Content,Anime,3D Fighter,
Rise of the Tomb Raider™,391220,9,Action Games,Adventure,Action,Female Protagonist,,
My Time at Sandrock,1084600,9,RPG Games,Life Sim,Sandbox,Crafting,RPG,Building
Divinity: Original Sin - Enhanced Edition,373420,9,RPG Games,RPG,Turn-Based,Co-op,Adventure,Fantasy
STORY OF SEASONS: Pioneers of Olive Town,1392960,9,Simulation Games,Casual,Farming Sim,RPG,Simulation,
Barotrauma,602960,9,Indie Games,Multiplayer,Co-op,Survival,Submarine,
Spelunky 2,418530,9,Action Games,Platformer,2D Platformer,Perma Death,,
Paladins®,444090,9,Free to Play Games,Hero Shooter,Free to Play,Multiplayer,FPS,
Project Winter,774861,9,Indie Games,Social Deduction,Survival,Multiplayer,,
Among Us,945360,9,Casual Games,Multiplayer,Online Co-Op,Social Deduction,,
Stranded Deep,313120,7,Adventure Games,Open World Survival Craft,Survival,Multiplayer,,
Yu-Gi-Oh! Duel Links,601510,9,Free to Play Games,Free to Play,Card Game,Anime,Strategy,
SUCCUBUS,985830,9,Action Games,Sexual Content,Nudity,Mature,Gore,
Keep Talking and Nobody Explodes,341800,10,Indie Games,Co-op,Puzzle,Local Co-Op,Multiplayer,VR
NEKOPARA Vol. 1,333600,10,Indie Games,Hentai,Anime,Nudity,Sexual Content,Mature
Star Conflict,212070,7,Free to Play Games,Free to Play,Space,Action,Multiplayer,
Witch It,559650,9,Action Games,Multiplayer,Funny,Casual,Action,Indie
60 Seconds! Reatomized,1012880,9,Adventure Games,Strategy,Simulation,Survival,Post-apocalyptic,
DEEMO -Reborn-,1282210,9,Action Games,Rhythm,Adventure,Puzzle,Music,Beautiful
Far Cry® 4,298110,9,Action Games,Open World,Action,FPS,Co-op,Adventure
Ys VIII: Lacrimosa of DANA,579180,9,RPG Games,RPG,JRPG,Action,Anime,Great Soundtrack
The Elder Scrolls V: Skyrim VR,611670,7,RPG Games,Open World,RPG,VR,Singleplayer,Adventure
Outward Definitive Edition,794260,7,RPG Games,RPG,Open World,Survival,Co-op,
eFootball™ 2022,1665460,5,Sports Games,Free to Play,Soccer,Sports,Simulation,
Superliminal,1049410,9,Indie Games,Puzzle,Narration,First-Person,Physics,
To the Moon,206440,10,Indie Games,Story Rich,Great Soundtrack,Indie,Emotional,
Wargame: Red Dragon,251060,9,Strategy Games,Strategy,RTS,Military,Realistic,Wargame
DRAGON BALL XENOVERSE 2,454650,9,Action Games,Anime,Fighting,Character Customization,Action,
Undertale,391540,10,RPG Games,Great Soundtrack,Story Rich,Choices Matter,,
Weird West,1097350,7,RPG Games,Western,Isometric,RPG,Immersive Sim,
Project Wingman,895870,9,Simulation Games,Flight,Action,Jet,Indie,War
Foundation,690830,9,Simulation Games,City Builder,Strategy,Simulation,Medieval,
X-Plane 11,269950,9,Simulation Games,Simulation,Flight,Realistic,Open World,
Party Panic,506500,7,Action Games,Multiplayer,4 Player Local,Casual,Funny,
Shin Megami Tensei III Nocturne HD Remaster,1413480,9,RPG Games,JRPG,RPG,Creature Collector,,Demons
There Is No Game: Wrong Dimension,1240210,10,Indie Games,Indie,Adventure,Casual,Point & Click,
SCP: Pandemic,872670,7,Early Access Games,Early Access,FPS,Sandbox,Story Rich,
Control Ultimate Edition,870780,9,Action Games,Action,Adventure,Female Protagonist,,Story Rich
Police Simulator: Patrol Officers,997010,9,Simulation Games,Crime,Simulation,Open World,Realistic,
We Were Here Too,677160,9,Adventure Games,Escape Room,Online Co-Op,Co-op,Puzzle,
King Arthur: Knight's Tale,1157390,9,RPG Games,Tactical RPG,Turn-Based Tactics,Dark Fantasy,,
Trine 4: The Nightmare Prince,690640,9,Action Games,Puzzle Platformer,Online Co-Op,Local Co-Op,,
Grounded,962130,9,Adventure Games,Survival,Multiplayer,Base Building,Crafting,
Elite Dangerous,359320,7,Simulation Games,Space Sim,Space,Open World,Exploration,
Dyson Sphere Program,1366540,10,Indie Games,Space,Base Building,Automation,Building,
VR Kanojo / VRカノジョ,751440,7,Adventure Games,Sexual Content,Nudity,VR,Mature,Hentai
Hmmsim Metro,1591420,9,Simulation Games,Simulation,Trains,3D,Realistic,Transportation
Squad,393380,9,Action Games,Military,Realistic,FPS,Multiplayer,
KovaaK's,824270,9,Action Games,Action,Shooter,Simulation,FPS,Indie
Assassin’s Creed® IV Black Flag™,242050,9,Action Games,Pirates,Open World,Assassin,Action,
Going Medieval,1029780,9,Simulation Games,Early Access,City Builder,Medieval,Colony Sim,
Last Epoch,899770,9,RPG Games,Action RPG,RPG,Hack and Slash,Loot,
Yakuza 5 Remastered,1105510,9,Action Games,Action,Adventure,Open World,Beat 'em up,
Outlast,238320,10,Adventure Games,Horror,First-Person,Survival Horror,Atmospheric,
Some Some Convenience Store,1217390,10,Indie Games,Dating Sim,Sexual Content,Mature,Visual Novel,
Impostor Factory,1182620,10,Adventure Games,Indie,Story Rich,Adventure,Pixel Graphics,
State of Decay 2: Juggernaut Edition,495420,9,Action Games,Survival,Open World,Zombies,Base Building,
NEKOPARA Vol. 4,1406990,10,Adventure Games,Sexual Content,Anime,Hentai,Visual Novel,
Company of Heroes 2,231430,9,Strategy Games,Strategy,World War II,RTS,Multiplayer,
MY HERO ONE'S JUSTICE 2,1058450,9,Action Games,Action,Anime,Fighting,Multiplayer,Superhero
BRAVELY DEFAULT II,1446650,9,RPG Games,RPG,JRPG,Turn-Based Combat,Adventure,
World of Tanks,1407200,9,Action Games,Tanks,Free to Play,Action,Vehicular Combat,
CrossCode,368340,9,RPG Games,Action RPG,Pixel Graphics,RPG,,Puzzle
Old World,597180,7,Strategy Games,Strategy,Simulation,Grand Strategy,Historical,
Soul Hackers 2,597180,none,RPG Games,RPG,Cyberpunk,JRPG,Demons,Futuristic
Assassin's Creed® Syndicate,368500,7,Action Games,Assassin,Open World,Action,Stealth,Parkour
Midnight Ghost Hunt,915810,9,Action Games,Early Access,Multiplayer,Combat,Team-Based,
Luck be a Landlord,1404850,9,Indie Games,Roguelike Deckbuilder,Deckbuilding,,Roguelite,
Far Cry® Primal,371660,9,Action Games,Open World,Survival,Action,Adventure,
SpeedRunners,207140,9,Action Games,Multiplayer,Racing,Local Multiplayer,Indie,
